Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Germany,2018,0.2719875471112505,1.086024514,47950.18081
Germany,2019,0.2654401976751082,1.055508247,46794.89929
Germany,2020,0.26204541878111876,-4.569616717,46208.42947
Greece,2010,0.15142670153177212,-5.478627432,26690.60742
Greece,2011,0.14434005317580503,-10.14931483,25450.53412
Greece,2012,0.12433879412037636,-7.086696786,21914.25173
Greece,2013,0.12364493750078355,-2.515997222,21781.59535
Greece,2014,0.12258549605520262,0.475695947,21587.95755
Greece,2015,0.10267821378022925,-0.19608763,18076.60676
Greece,2016,0.10174056516717955,-0.487173294,17911.79938
Greece,2017,0.10529898945904388,1.09214912,18536.19072
Greece,2018,0.11216986940442207,1.668428636,19747.34258
Greece,2019,0.10869440593838217,1.803595256,19133.75776
Greece,2020,0.09999325306427481,-9.019129085,17622.541
Hungary,2010,0.07518957427487401,1.083118668,13223.083
Hungary,2011,0.08096373080609204,1.860155072,14240.2575
Hungary,2012,0.07383439522724397,-1.257749507,12989.18028
Hungary,2013,0.07801447769685475,1.806363928,13719.95054
Hungary,2014,0.08132562456664862,4.223725539,14298.83367
Hungary,2015,0.07237583948586805,3.703259936,12720.71202
Hungary,2016,0.07454792293015627,2.191960369,13107.37791
Hungary,2017,0.08316718610596077,4.268557419,14623.69665
Hungary,2018,0.09340241207537082,5.359496489,16427.37276
Hungary,2019,0.09513926609853386,4.554063072,16735.65978
Hungary,2020,0.090744222771137,-4.675686993,15980.74089
Iceland,2010,0.24522879011959367,-2.832774915,43237.07295
Iceland,2011,0.2706620953505801,1.845779156,47714.59223
Iceland,2012,0.2609103883475007,1.063636607,45995.54788
Iceland,2013,0.2825425983852797,4.55246032,49804.983
Iceland,2014,0.30954780102225193,1.687215018,54576.74481
Iceland,2015,0.3003734240659529,4.436663719,52951.68151
Iceland,2016,0.35160533929372395,6.303687107,61987.92636
Iceland,2017,0.40837440790778023,4.194948829,72010.14903
Iceland,2018,0.4223220686774639,4.892180731,74469.80406
Iceland,2019,0.39096190780205375,2.434823,68941.46223
Iceland,2020,0.3360416558839221,-6.50391225,59270.18005
Ireland,2010,0.2757235375102302,1.755080743,48607.94052
